sekolah_id,nama_sekolah
336ab068-d888-4309-821e-4fd8b60a9592,SMAN 1 BALANTAK SELATAN
0076da57-013c-e111-9f06-4f695a48efdd,SD NEGERI 17 MOMUNU
a09d2858-013c-e111-809a-77913a7a4de3,SD INPRES 2 WANAMUKTI
10248657-013c-e111-9960-ff6ce58fed23,SDN 10 SOJOL
a1609dc2-5cf7-4d15-9b32-2c47e537694e,SD ISLAM TERPADU IMAM MUSLIM
0056c258-013c-e111-9ef3-bd2062bb170c,SMP NEGERI 1 LUWUK TIMUR
b1cda356-2d44-43e9-b134-91800c47f553,SMPN SATAP 6 RIO PAKAVA
80409429-22be-e211-88b4-5906bb373a26,SMPN SATAP 9 BANAWA SELATAN
5dc7145f-b098-438c-a525-150a2ddfe70b,SMP NEGERI  4 SATAP TILOAN
60f48d57-013c-e111-a1a4-1d53a292d6ce,SD NEGERI WISOLO
80e32dfa-f0fe-e111-bde1-03a379a369a3,SMPN 5 GADUNG
d0195f88-4cdf-e111-9b54-f5a982b7f497,SMP SATU ATAP BULU MINUNG BANGKIR
203ad658-013c-e111-88be-8d30f4d76d54,SMP NEGERI 1 ULUBONGKA
40340e83-6f3b-42c7-94f5-e49bd677325c,SMK NEGERI 3 SIGI
a306d9a0-37ca-4d97-8575-bb9e31a5db00,SMP ADVENT LEMOSIRANINDI
c03a4a58-013c-e111-85ae-efef439d2e62,SD NEGERI BIRO
30461158-013c-e111-a614-aba9328ed60c,SD NEGERI 1 PUNTARI MAKMUR
3a7acbd3-985e-4d26-b79c-25a943d684e8,SMKN 1 SOJOL UTARA
e342091c-1050-45d3-b367-dcaf2239958f,MTSS DDI LONJA
20bb2258-013c-e111-bff0-cbb8e6e0eb60,SD INPRES 2 EEYA
e0dce757-013c-e111-ab15-0d237d54d7d7,SD NEGERI GELLENGNGE
40908757-013c-e111-ae2f-dde34f2d7336,SD NEGERI KILO
cb889956-8552-4979-bb52-7eb337e22d36,SMKS AL ITTIHAD DDI SONI
a2000d95-dcc5-4f45-9744-d5024b50e460,SMPN SATAP 9 DAMPELAS
a0830658-013c-e111-9006-8baef5c14173,SD NEGERI BINTANGOR MUKTI
c071f557-013c-e111-90dd-6fa2b71afcd3,SD NEGERI 26 TOLITOLI
ee4066cf-a1bd-4be5-94c4-f4fa35c6fe6e,MTSN 3 DONGGALA
207ee558-013c-e111-8f64-e7c9231e277b,SMP ALKHAIRAAT 2 PALU
20fbe158-013c-e111-b2e1-5feb458ed087,SMP MUHAMMADIYAH KODOLAGON
2d8bfbc7-7ebc-4f2a-80fa-70848f88ae35,Tahfidzul Qur`an Masjid Tua Bungku
7057ca57-013c-e111-a077-b9bd85a246f1,SD NEGERI 1 KAYUTANYO
103cbf47-6fb4-e111-b1e7-cb6d547eb4e4,SMP NEGERI 01 BARAS
b09af557-013c-e111-9053-31e70c38fa1a,SD NEGERI LUTUNGAN
40a13d57-013c-e111-9e8e-0948c80aeb10,SD NEGERI BUNGIN
20b29557-013c-e111-8552-4392cf1ad154,SD SMP NEGERI SATU ATAP BARATI
00518a57-013c-e111-8fe3-fbc8b57fbe32,SDN 11 RIO PAKAVA
4655409a-0999-4e76-8a62-6cbaafffe36a,SMP NEGERI 4 KASIMBAR
c0fc2e58-013c-e111-a741-3327f2430597,SD NEGERI MANINILI
00345bd1-61da-e111-82da-ede7f4a5676d,SMP NEGERI 2 MORI UTARA
673013ae-bedb-4c4f-9b0e-5540a1b3775b,SMAN 1 DAMPAL UTARA
809fcf58-013c-e111-b277-954e79d4a497,SMP NEGERI 1 PETASIA BARAT
2fb9c7ff-5887-461c-9fb7-d47b1b76be4b,SMAN 1 BUMI RAYA
6010e458-013c-e111-b5e9-3df251f0c661,SMP ALKHAIRAAT PARIGI
80685b58-013c-e111-b3aa-318a5970fab2,SD BALA KESELAMATAN TAMODO
70f2bb57-013c-e111-b26e-bfadf6834d4e,SD INPRES BONDAT
e02c4658-013c-e111-9728-d9560dbeb015,SD NEGERI 11 PALU
40cd1c58-013c-e111-b41a-09e3c113c4ec,SD NEGERI 1 SIDOAN
40a8bd57-013c-e111-85b5-3b023074dae7,SD NEGERI SOBOL
000dbf58-013c-e111-8cf8-43eb81151676,SMP NEGERI 5 LUWUK
